ensembl_gene_id gene_symbol entrezgene_id
ENSG00000160087 UBE2J2 118424
ENSG00000162572 SCNN1D 6339
ENSG00000131584 ACAP3 116983
ENSG00000278073 MIR6726 102465434
ENSG00000169972 PUSL1 126789
ENSG00000127054 INTS11 54973
ENSG00000283712 MIR6727 102465435
ENSG00000224051 CPTP 80772
ENSG00000169962 TAS1R3 83756
ENSG00000107404 DVL1 1855
ENSG00000284372 MIR6808 102466740
ENSG00000162576 MXRA8 54587
ENSG00000175756 AURKAIP1 54998
ENSG00000221978 CCNL2 81669
ENSG00000224870 MRPL20-AS1 148413
ENSG00000242485 MRPL20 55052
ENSG00000235098 ANKRD65 441869
ENSG00000205116 TMEM88B 643965
ENSG00000179403 VWA1 64856
ENSG00000215915 ATAD3C 219293
ENSG00000160072 ATAD3B 83858
ENSG00000197785 ATAD3A 55210
ENSG00000205090 TMEM240 339453
ENSG00000160075 SSU72 29101
ENSG00000228594 FNDC10 643988
ENSG00000197530 MIB2 142678
ENSG00000189409 MMP23B 8510
ENSG00000248333 CDK11B 984
ENSG00000189339 SLC35E2B 728661
ENSG00000008128 CDK11A 728642
ENSG00000215790 SLC35E2A 9906
ENSG00000008130 NADK 65220
ENSG00000078369 GNB1 2782
ENSG00000169885 CALML6 163688
ENSG00000178821 TMEM52 339456
ENSG00000142609 CFAP74 85452
ENSG00000187730 GABRD 2563
ENSG00000067606 PRKCZ 5590
ENSG00000182873 PRKCZ-AS1 100506504
ENSG00000162585 FAAP20 199990
ENSG00000157933 SKI 6497
ENSG00000116151 MORN1 79906
ENSG00000269896  100129534
ENSG00000157916 RER1 11079
ENSG00000157911 PEX10 5192
ENSG00000149527 PLCH2 9651
ENSG00000157881 PANK4 55229
ENSG00000197921 HES5 388585
ENSG00000157873 TNFRSF14 8764
ENSG00000157870 PRXL2B 127281
ENSG00000142606 MMEL1 79258
ENSG00000215912 TTC34 100287898
ENSG00000169717 ACTRT2 140625
ENSG00000177133 PRDM16-DT 440556
ENSG00000142611 PRDM16 63976
ENSG00000283572 MIR4251 100422968
ENSG00000130762 ARHGEF16 27237
ENSG00000162591 MEGF6 1953
ENSG00000207776 MIR551A 693135
ENSG00000158109 TPRG1L 127262
ENSG00000116213 WRAP73 49856
ENSG00000078900 TP73 7161
ENSG00000227372 TP73-AS1 57212
ENSG00000162592 CCDC27 148870
ENSG00000235169 SMIM1 388588
ENSG00000130764 LRRC47 57470
ENSG00000116198 CEP104 9731
ENSG00000169598 DFFB 1677
ENSG00000198912 C1orf174 339448
ENSG00000236423 LINC01134 100133612
ENSG00000226374 LINC01345 105376672
ENSG00000284668 LINC02780 105376673
ENSG00000235054 LINC01777 284661
ENSG00000196581 AJAP1 55966
ENSG00000284674 LINC02781 105376680
ENSG00000264101 MIR4689 100616421
ENSG00000131697 NPHP4 261734
ENSG00000069424 KCNAB2 8514
ENSG00000116254 CHD5 26038
ENSG00000116251 RPL22 6146
ENSG00000226944 RNF207-AS1 102724450
ENSG00000158286 RNF207 388591
ENSG00000116237 ICMT 23463
ENSG00000173673 HES3 390992
ENSG00000158292 GPR153 387509
ENSG00000097021 ACOT7 11332
ENSG00000069812 HES2 54626
ENSG00000187017 ESPN 83715
ENSG00000265392 MIR4252 100422975
ENSG00000215788 TNFRSF25 8718
ENSG00000171680 PLEKHG5 57449
ENSG00000162408 NOL9 79707
ENSG00000173662 TAS1R1 80835
ENSG00000204859 ZBTB48 3104
ENSG00000162413 KLHL21 9903
ENSG00000116273 PHF13 148479
ENSG00000041988 THAP3 90326
ENSG00000007923 DNAJC11 55735
ENSG00000171735 CAMTA1 23261
ENSG00000237728 CAMTA1-AS2 102725193
ENSG00000049245 VAMP3 9341
ENSG00000049246 PER3 8863
ENSG00000049247 UTS2 10911
ENSG00000049249 TNFRSF9 3604
ENSG00000116288 PARK7 11315
ENSG00000116285 ERRFI1 54206
ENSG00000227634 LINC01714 102724539
ENSG00000162426 SLC45A1 50651
ENSG00000142599 RERE 473
ENSG00000074800 ENO1 2023
ENSG00000274258 MIR6728 102465436
ENSG00000230679 ENO1-AS1 100505975
ENSG00000131686 CA6 765
ENSG00000197241 SLC2A7 155184
ENSG00000142583 SLC2A5 6518
ENSG00000180758 GPR157 80045
ENSG00000228526 MIR34AHG 106614088
ENSG00000284357 MIR34A 407040
ENSG00000234546 LNCTAM34A 102724571
ENSG00000049239 H6PD 9563
ENSG00000171621 SPSB1 80176
ENSG00000284693 LINC02606 100506022
ENSG00000171612 SLC25A33 84275
ENSG00000188807 TMEM201 199953
ENSG00000171608 PIK3CD 5293
ENSG00000179840 PIK3CD-AS1 644997
ENSG00000231789 PIK3CD-AS2 101929074
ENSG00000171603 CLSTN1 22883
ENSG00000178585 CTNNBIP1 56998
ENSG00000162441 LZIC 84328
ENSG00000173614 NMNAT1 64802
ENSG00000283611 TMEM274P 113391335
ENSG00000265521 MIR5697 100847055
ENSG00000162444 RBP7 116362
ENSG00000130939 UBE4B 10277
ENSG00000054523 KIF1B 23095
ENSG00000142657 PGD 5226
ENSG00000251503 CENPS-CORT 100526739
ENSG00000175279 CENPS 378708
ENSG00000241563 CORT 1325
ENSG00000160049 DFFA 1676
ENSG00000142655 PEX14 5195
ENSG00000130940 CASZ1 54897
ENSG00000175262 C1orf127 148345
ENSG00000120948 TARDBP 23435
ENSG00000009724 MASP2 10747
ENSG00000116649 SRM 6723
ENSG00000171824 EXOSC10 5394
ENSG00000230337 EXOSC10-AS1 105376736
ENSG00000198793 MTOR 2475
ENSG00000225602 MTOR-AS1 100873935
ENSG00000171819 ANGPTL7 10218
ENSG00000120942 UBIAD1 29914
ENSG00000204624 DISP3 57540
ENSG00000235643 LINC01647 101929181
ENSG00000116661 FBXO2 26232
ENSG00000132879 FBXO44 93611
ENSG00000116663 FBXO6 26270
ENSG00000116670 MAD2L2 10459
ENSG00000162490 DRAXIN 374946
ENSG00000177674 AGTRAP 57085
ENSG00000215910 C1orf167 284498
ENSG00000177553 C1orf167-AS1 102724659
ENSG00000177000 MTHFR 4524
ENSG00000011021 CLCN6 1185
ENSG00000175206 NPPA 4878
ENSG00000120937 NPPB 4879
ENSG00000116685 KIAA2013 90231
ENSG00000083444 PLOD1 5351
ENSG00000116688 MFN2 9927
ENSG00000116691 MIIP 60672
ENSG00000276869 MIR6729 102466982
ENSG00000120949 TNFRSF8 943
ENSG00000283789 MIR7846 102465836
ENSG00000028137 TNFRSF1B 7133
ENSG00000263676 MIR4632 100616438
ENSG00000048707 VPS13D 55187
ENSG00000239149 SNORA59A 677882
ENSG00000239149 SNORA59A 677885
ENSG00000162496 DHRS3 9249
ENSG00000276830 MIR6730 102466722
ENSG00000204518 AADACL4 343066
ENSG00000188984 AADACL3 126767
ENSG00000157330 C1orf158 93190
ENSG00000116726 PRAMEF12 390999
ENSG00000116721 PRAMEF1 65121
ENSG00000239810 PRAMEF11 440560
ENSG00000179172 HNRNPCL1 343069
ENSG00000120952 PRAMEF2 65122
ENSG00000243073 PRAMEF4 400735
ENSG00000187545 PRAMEF10 343071
ENSG00000204510 PRAMEF7 441871
ENSG00000232423 PRAMEF6 440561
ENSG00000274764 PRAMEF27 101929983
ENSG00000277058 HNRNPCL3 649330
ENSG00000229571 PRAMEF25 441873
ENSG00000229571 PRAMEF25 645359
ENSG00000275774 HNRNPCL2 440563
ENSG00000280267 PRAMEF26 645359
ENSG00000179412 HNRNPCL4 101060301
ENSG00000204505 PRAMEF9 343070
ENSG00000279169 PRAMEF13 400736
ENSG00000279804 PRAMEF18 391003
ENSG00000270601 PRAMEF5 343068
ENSG00000182330 PRAMEF8 391002
ENSG00000237700 PRAMEF33 645382
ENSG00000204501 PRAMEF15 653619
ENSG00000204481 PRAMEF14 729528
ENSG00000204480 PRAMEF19 645414
ENSG00000204479 PRAMEF17 391004
ENSG00000204478 PRAMEF20 645425
ENSG00000162494 LRRC38 126755
ENSG00000162493 PDPN 10630
ENSG00000116731 PRDM2 7799
ENSG00000189337 KAZN 23254
ENSG00000175147 TMEM51-AS1 200197
ENSG00000171729 TMEM51 55092
ENSG00000142621 FHAD1 114827
ENSG00000233485 FHAD1-AS1 101927417
ENSG00000142634 EFHD2 79180
ENSG00000162438 CTRC 11330
ENSG00000142615 CELA2A 63036
ENSG00000215704 CELA2B 51032
ENSG00000132906 CASP9 842
ENSG00000116138 DNAJC16 23341
ENSG00000251866 SCARNA21B 107397391
ENSG00000116771 AGMAT 79814
ENSG00000197312 DDI2 84301
ENSG00000215695 RSC1A1 6248
ENSG00000116786 PLEKHM2 23207
ENSG00000162461 SLC25A34 284723
ENSG00000224459 SLC25A34-AS1 110806303
ENSG00000162460 TMEM82 388595
ENSG00000162458 FBLIM1 54751
ENSG00000233954 UQCRHL 440567
ENSG00000179743  729614
ENSG00000065526 SPEN 23013
ENSG00000116809 ZBTB17 7709
ENSG00000183888 SRARP 149563
ENSG00000173641 HSPB7 27129
ENSG00000186510 CLCNKA 1187
ENSG00000184908 CLCNKB 1188
ENSG00000185519 FAM131C 348487
ENSG00000142627 EPHA2 1969
ENSG00000142632 ARHGEF19 128272
ENSG00000132881 CPLANE2 79363
ENSG00000037637 FBXO42 54455
ENSG00000055070 SZRD1 26099
ENSG00000187144 SPATA21 374955
ENSG00000157191 NECAP2 55707
ENSG00000226029 LINC01772 107984921
ENSG00000080947 CROCCP3 114819
ENSG00000206652 RNU1-1 26871
ENSG00000233421 LINC01783 100132147
ENSG00000219481 NBPF1 55672
ENSG00000215908 CROCCP2 84809
ENSG00000207513 RNU1-3 26869
ENSG00000058453 CROCC 9696
ENSG00000207389 RNU1-4 6060
ENSG00000186715 MST1L 11223
ENSG00000263811 MIR3675 100500876
ENSG00000228549  112267871
ENSG00000238142  105376805
ENSG00000207005 RNU1-2 26870
ENSG00000117122 MFAP2 4237
ENSG00000286898  105376806
ENSG00000159363 ATP13A2 23400
ENSG00000117118 SDHB 6390
ENSG00000117115 PADI2 11240
ENSG00000204362 LINC02783 400743
ENSG00000142623 PADI1 29943
ENSG00000142619 PADI3 51702
ENSG00000266634 MIR3972 100616188
ENSG00000159339 PADI4 23569
ENSG00000276747 PADI6 353238
ENSG00000179051 RCC2 55920
ENSG00000074964 ARHGEF10L 55160
ENSG00000117148 ACTL8 81569
ENSG00000261781 LINC01654 101927876
ENSG00000117154 IGSF21 84966
ENSG00000179023 KLHDC7A 127707
ENSG00000009709 PAX7 5081
ENSG00000179002 TAS1R2 80834
ENSG00000159423 ALDH4A1 8659
ENSG00000265606 MIR4695 100616120
ENSG00000221662 MIR1290 100302276
ENSG00000169991 IFFO2 126917
ENSG00000127481 UBR4 23352
ENSG00000127463 EMC1 23065
ENSG00000053372 MRTO4 51154
ENSG00000162482 AKR7A3 22977
ENSG00000053371 AKR7A2 8574
ENSG00000040487 SLC66A1 54896
ENSG00000077549 CAPZB 832
ENSG00000173436 MICOS10 440574
ENSG00000235185  105378614
ENSG00000158747 NBL1 4681
ENSG00000158747 NBL1 100532736
ENSG00000158748 HTR6 3362
ENSG00000162542 TMCO4 255104
ENSG00000178828 RNF186 54546
ENSG00000169914 OTUD3 23252
ENSG00000188784 PLA2G2E 30814
ENSG00000188257 PLA2G2A 5320
ENSG00000127472 PLA2G5 5322
ENSG00000117215 PLA2G2D 26279
ENSG00000158786 PLA2G2F 64600
ENSG00000187980 PLA2G2C 391013
ENSG00000225986 UBXN10-AS1 101928017
ENSG00000162543 UBXN10 127733
ENSG00000228105 LINC01757 105376827
ENSG00000158816 VWA5B1 127731
ENSG00000162545 CAMK2N1 55450
ENSG00000090432 MUL1 79594
ENSG00000183114 FAM43B 163933
ENSG00000158825 CDA 978
ENSG00000158828 PINK1 65018
ENSG00000284005 MIR6084 102464833
ENSG00000117242 PINK1-AS 100861548
ENSG00000244038 DDOST 1650
ENSG00000117245 KIF17 57576
ENSG00000189410 SH2D5 400745
ENSG00000127483 HP1BP3 50809
ENSG00000075151 EIF4G3 8672
ENSG00000221808 MIR1256 100302155
ENSG00000117298 ECE1 1889
ENSG00000231105 ECE1-AS1 100506801
ENSG00000142794 NBPF3 84224
ENSG00000162551 ALPL 249
ENSG00000076864 RAP1GAP 5909
ENSG00000090686 USP48 84196
ENSG00000187942 LDLRAD2 401944
ENSG00000142798 HSPG2 3339
ENSG00000219073 CELA3B 23436
ENSG00000142789 CELA3A 10136
ENSG00000228397 LINC01635 101928043
ENSG00000218510 LINC00339 29092
ENSG00000070831 CDC42 998
ENSG00000162552 WNT4 54361
ENSG00000285873  105376845
ENSG00000266564 MIR4418 100616433
ENSG00000184677 ZBTB40 9923
ENSG00000070886 EPHA8 2046
ENSG00000276835 MIR6127 102466615
ENSG00000173372 C1QA 712
ENSG00000159189 C1QC 714
ENSG00000173369 C1QB 713
ENSG00000133216 EPHB2 2048
ENSG00000265422 MIR4684 100616391
ENSG00000264014 MIR4253 100422914
ENSG00000215906 LACTBL1 646262
ENSG00000227868 TEX46 729059
ENSG00000004487 KDM1A 23028
ENSG00000263793 MIR3115 100422866
ENSG00000169641 LUZP1 7798
ENSG00000179546 HTR1D 3352
ENSG00000125944 HNRNPR 10236
ENSG00000125945 ZNF436 80818
ENSG00000204219 TCEA3 6920
ENSG00000088280 ASAP3 55616
ENSG00000007968 E2F2 1870
ENSG00000117318 ID3 3399
ENSG00000197880 MDS2 259283
ENSG00000142676 RPL11 6135
ENSG00000236810 ELOA-AS1 100506963
ENSG00000011007 ELOA 6924
ENSG00000057757 PITHD1 57095
ENSG00000011009 LYPLA2 11313
ENSG00000117308 GALE 2582
ENSG00000117305 HMGCL 3155
ENSG00000179163 FUCA1 2517
ENSG00000188822 CNR2 1269
ENSG00000264926 MIR378F 100616492
ENSG00000189266 PNRC2 55629
ENSG00000188529 SRSF10 10772
ENSG00000142661 MYOM3 127294
ENSG00000142677 IL22RA1 58985
ENSG00000185436 IFNLR1 163702
ENSG00000230023 LINC02800 284632
ENSG00000158055 GRHL3 57822
ENSG00000001460 STPG1 90529
ENSG00000001461 NIPAL3 57185
ENSG00000286061 RCAN3AS 100750325
ENSG00000117602 RCAN3 11123
ENSG00000184454 NCMAP 400746
ENSG00000133226 SRRM1 10250
ENSG00000169504 CLIC4 25932
ENSG00000020633 RUNX3 864
ENSG00000278034 MIR6731 102465437
ENSG00000264371 MIR4425 100616365
ENSG00000285823 LINC02793 105376879
ENSG00000117614 SYF2 25949
ENSG00000117616 RSRP1 57035
ENSG00000187010 RHD 6007
ENSG00000183726 TMEM50A 23585
ENSG00000188672 RHCE 6006
ENSG00000204178 MACO1 55219
ENSG00000157978 LDLRAP1 26119
ENSG00000117643 MAN1C1 57134
ENSG00000162430 SELENON 57190
ENSG00000117640 MTFR1L 56181
ENSG00000127423 AUNIP 79000
ENSG00000182749 PAQR7 164091
ENSG00000117632 STMN1 3925
ENSG00000283938 MIR3917 100500808
ENSG00000158006 PAFAH2 5051
ENSG00000158008 EXTL1 2134
ENSG00000158014 SLC30A2 7780
ENSG00000158022 TRIM63 84676
ENSG00000175087 PDIK1L 149420
ENSG00000197245 FAM110D 79927
ENSG00000282872 C1orf232 110806296
ENSG00000142684 ZNF593 51042
ENSG00000142675 CNKSR1 10256
ENSG00000188782 CATSPER4 378807
ENSG00000236155 ZPLD2P 101928303
ENSG00000130695 CEP85 64793
ENSG00000142669 SH3BGRL3 83442
ENSG00000158062 UBXN11 91544
ENSG00000169442 CD52 1043
ENSG00000176092 CRYBG2 55057
ENSG00000176083 ZNF683 257101
ENSG00000131914 LIN28A 79727
ENSG00000117682 DHDDS 79947
ENSG00000198830 HMGN2 3151
ENSG00000117676 RPS6KA1 6195
ENSG00000238705 MIR1976 100302190
ENSG00000260063  101928728
ENSG00000117713 ARID1A 8289
ENSG00000060642 PIGV 55650
ENSG00000204160 ZDHHC18 84243
ENSG00000175793 SFN 2810
ENSG00000142751 GPN2 54707
ENSG00000198746 GPATCH3 63906
ENSG00000090273 NUDC 10726
ENSG00000131910 NR0B2 8431
ENSG00000175707 KDF1 126695
ENSG00000253368 TRNP1 388610
ENSG00000158246 TENT5B 115572
ENSG00000090020 SLC9A1 6548
ENSG00000142784 WDTC1 23038
ENSG00000186501 TMEM222 84065
ENSG00000142765 SYTL1 84958
ENSG00000142733 MAP3K6 9064
ENSG00000142748 FCN3 8547
ENSG00000174950 CD164L2 388611
ENSG00000181773 GPR3 2827
ENSG00000158195 WASF2 10163
ENSG00000126705 AHDC1 27245
ENSG00000000938 FGR 2268
ENSG00000233975 LINC02574 111216282
ENSG00000126709 IFI6 2537
ENSG00000009780 FAM76A 199870
ENSG00000117758 STX12 23673
ENSG00000117751 PPP1R8 5511
ENSG00000252947 SCARNA1 677774
ENSG00000130775 THEMIS2 9473
ENSG00000117748 RPA2 6118
ENSG00000130768 SMPDL3B 27293
ENSG00000158156 XKR8 55113
ENSG00000158161 EYA3 2140
ENSG00000169403 PTAFR 5724
ENSG00000126698 DNAJC8 22826
ENSG00000130770 ATP5IF1 93974
ENSG00000130766 SESN2 83667
ENSG00000130772 MED18 54797
ENSG00000204138 PHACTR4 65979
ENSG00000180198 RCC1 1104
ENSG00000242125 SNHG3 8420
ENSG00000200087 SNORA73B 26768
ENSG00000180098 TRNAU1AP 54952
ENSG00000197989 SNHG12 85028
ENSG00000221539 SNORD99 692212
ENSG00000278274 SNORA61 677838
ENSG00000273544 SNORA44 677825
ENSG00000280498 SNORA16A 692073
ENSG00000120656 TAF12 6883
ENSG00000188060 RAB42 115273
ENSG00000229388 LINC01715 105378616
ENSG00000274978 RNU11 26824
ENSG00000162419 GMEB1 10691
ENSG00000198492 YTHDF2 51441
ENSG00000116329 OPRD1 4985
ENSG00000159023 EPB41 2035
ENSG00000253304 TMEM200B 399474
ENSG00000116350 SRSF4 6429
ENSG00000116353 MECR 51102
ENSG00000060656 PTPRU 10076
ENSG00000230523 LINC01756 101928460
ENSG00000233399 LINC01648 101929406
ENSG00000162510 MATN1 4146
ENSG00000186056 MATN1-AS1 100129196
ENSG00000162511 LAPTM5 7805
ENSG00000264773 MIR4420 100616164
ENSG00000162512 SDC3 9672
ENSG00000134644 PUM1 9698
ENSG00000084628 NKAIN1 79570
ENSG00000060688 SNRNP40 9410
ENSG00000121766 ZCCHC17 51538
ENSG00000121769 FABP3 2170
ENSG00000168528 SERINC2 347735
ENSG00000260386 LDC1P 149086
ENSG00000142910 TINAGL1 64129
ENSG00000121764 HCRTR1 3061
ENSG00000162517 PEF1 553115
ENSG00000084636 COL16A1 1307
ENSG00000121753 ADGRB2 576
ENSG00000266580 MIR4254 100423028
ENSG00000134668 SPOCD1 90853
ENSG00000184007 PTP4A2 8073
ENSG00000121774 KHDRBS1 10657
ENSG00000121775 TMEM39B 55116
ENSG00000266203 MIR5585 100847018
ENSG00000025800 KPNA6 23633
ENSG00000084652 TXLNA 200081
ENSG00000160050 CCDC28B 79140
ENSG00000160051 IQCC 55721
ENSG00000222046 DCDC2B 149069
ENSG00000160055 TMEM234 56063
ENSG00000084623 EIF3I 8668
ENSG00000183615 FAM167B 84734
ENSG00000182866 LCK 3932
ENSG00000116478 HDAC1 3065
ENSG00000175130 MARCKSL1 65108
ENSG00000162526 TSSK3 81629
ENSG00000225828 FAM229A 100128071
ENSG00000160058 BSDC1 55108
ENSG00000273274 ZBTB8B 728116
ENSG00000160062 ZBTB8A 653121
ENSG00000176261 ZBTB8OS 339487
ENSG00000162521 RBBP4 5928
ENSG00000162520 SYNC 81493
ENSG00000162522 KIAA1522 57648
ENSG00000134684 YARS1 8565
ENSG00000116497 S100PBP 64766
ENSG00000160097 FNDC5 252995
ENSG00000121905 HPCA 3208
ENSG00000121900 TMEM54 113452
ENSG00000116514 RNF19B 127544
ENSG00000004455 AK2 204
ENSG00000142920 AZIN2 113451
ENSG00000116525 TRIM62 55223
ENSG00000160094 ZNF362 149076
ENSG00000184389 A3GALT2 127550
ENSG00000134686 PHC2 1912
ENSG00000284154 MIR3605 100500853
ENSG00000233246 PHC2-AS1 101929464
ENSG00000121903 ZSCAN20 7579
ENSG00000121904 CSMD2 114784
ENSG00000176256 HMGB4 127540
ENSG00000231163 CSMD2-AS1 402779
ENSG00000142698 C1orf94 84970
ENSG00000207941 MIR552 693137
ENSG00000163866 SMIM12 113444
ENSG00000189280 GJB5 2709
ENSG00000189433 GJB4 127534
ENSG00000188910 GJB3 2707
ENSG00000187513 GJA4 2701
ENSG00000116544 DLGAP3 58512
ENSG00000241014  653160
ENSG00000243749 TMEM35B 100506144
ENSG00000163867 ZMYM6 9204
ENSG00000197056 ZMYM1 79830
ENSG00000116560 SFPQ 6421
ENSG00000146463 ZMYM4 9202
ENSG00000227409 ZMYM4-AS1 100861513
ENSG00000142687 KIAA0319L 79932
ENSG00000020129 NCDN 23154
ENSG00000116819 TFAP2E 339488
ENSG00000126067 PSMB2 5690
ENSG00000142686 C1orf216 127703
ENSG00000092853 CLSPN 63967
ENSG00000134698 AGO4 192670
ENSG00000092847 AGO1 26523
ENSG00000126070 AGO3 192669
ENSG00000092850 TEKT2 27285
ENSG00000116863 ADPRS 54936
ENSG00000171812 COL8A2 1296
ENSG00000054116 TRAPPC3 27095
ENSG00000116871 MAP7D1 55700
ENSG00000054118 THRAP3 9967
ENSG00000214193 SH3D21 79729
ENSG00000142694 EVA1B 55194
ENSG00000196182 STK40 83931
ENSG00000181817 LSM10 84967
ENSG00000116885 OSCP1 127700
ENSG00000201448 SNORA63C 109616970
ENSG00000116898 MRPS15 64960
ENSG00000119535 CSF3R 1441
ENSG00000163873 GRIK3 2899
ENSG00000264698 MIR4255 100422898
ENSG00000233621 LINC01137 728431
ENSG00000163874 ZC3H12A 80149
ENSG00000283724 MIR6732 102465438
ENSG00000163875 MEAF6 64769
ENSG00000263675 MIR5581 100847010
ENSG00000163877 SNIP1 79753
ENSG00000163879 DNALI1 7802
ENSG00000134697 GNL2 29889
ENSG00000169218 RSPO1 284654
ENSG00000116922 C1orf109 54955
ENSG00000134690 CDCA8 55143
ENSG00000183317 EPHA10 284656
ENSG00000185090 MANEAL 149175
ENSG00000196449 YRDC 79693
ENSG00000197982 C1orf122 127687
ENSG00000188786 MTF1 4520
ENSG00000204084 INPP5B 3633
ENSG00000183431 SF3A3 10946
ENSG00000183386 FHL3 2275
ENSG00000183520 UTP11 51118
ENSG00000185668 POU3F1 5453
ENSG00000265596 MIR3659 100500801
ENSG00000237290 LINC01343 339442
ENSG00000116954 RRAGC 64121
ENSG00000214114 MYCBP 26292
ENSG00000131233 GJA9 81025
ENSG00000158315 RHBDL2 54933
ENSG00000174574 AKIRIN1 79647
ENSG00000168653 NDUFS5 4725
ENSG00000127603 MACF1 23499
ENSG00000183682 BMP8A 353500
ENSG00000243970 PPIEL 728448
ENSG00000090621 PABPC4 8761
ENSG00000201457 SNORA55 677834
ENSG00000163909 HEYL 26508
ENSG00000116981 NT5C1A 84618
ENSG00000116983 HPCAL4 51440
ENSG00000084072 PPIE 10450
ENSG00000116985 BMP8B 656
ENSG00000198754 OXCT2 64064
ENSG00000285905 BMP8B-AS1 105378666
ENSG00000261798  101929536
ENSG00000043514 TRIT1 54802
ENSG00000116990 MYCL 4610
ENSG00000236546 MYCL-AS1 105378668
ENSG00000168389 MFSD2A 84879
ENSG00000131236 CAP1 10487
ENSG00000131238 PPT1 5538
ENSG00000117000 RLF 6018
ENSG00000188800 TMCO2 127391
ENSG00000084073 ZMPSTE24 10269
ENSG00000049089 COL9A2 1298
ENSG00000084070 SMAP2 64744
ENSG00000187801 ZFP69B 65243
ENSG00000187815 ZFP69 339559
ENSG00000164002 EXO5 64789
ENSG00000117010 ZNF684 127396
ENSG00000117016 RIMS3 9783
ENSG00000066136 NFYC 4802
ENSG00000198974 MIR30E 407034
ENSG00000207962 MIR30C1 407031
ENSG00000117013 KCNQ4 9132
ENSG00000179862 CITED4 163732
ENSG00000171793 CTPS1 1503
ENSG00000281207 SLFNL1-AS1 100507178
ENSG00000171790 SLFNL1 200172
ENSG00000010803 SCMH1 22955
ENSG00000204060 FOXO6 100132074
ENSG00000229901 FOXO6-AS1 101929901
ENSG00000127129 EDN2 1907
ENSG00000127124 HIVEP3 59269
ENSG00000044012 GUCA2B 2981
ENSG00000197273 GUCA2A 2980
ENSG00000198815 FOXJ3 22887
ENSG00000177181 RIMKLA 284716
ENSG00000066185 ZMYND12 84217
ENSG00000127125 PPCS 79717
ENSG00000186409 CCDC30 728621
ENSG00000171960 PPIH 10465
ENSG00000065978 YBX1 4904
ENSG00000164007 CLDN19 149461
ENSG00000117385 P3H1 64175
ENSG00000164008 C1orf50 79078
ENSG00000274386 TMEM269 100129924
ENSG00000177868 SVBP 374969
ENSG00000164010 ERMAP 114625
ENSG00000164011 ZNF691 51058
ENSG00000117394 SLC2A1 6513
ENSG00000227533 SLC2A1-AS1 440584
ENSG00000186973 FAM183A 440585
ENSG00000117395 EBNA1BP2 10969
ENSG00000284410 MIR6733 102465439
ENSG00000243710 CFAP57 149465
ENSG00000179178 TMEM125 128218
ENSG00000253313 C1orf210 149466
ENSG00000066056 TIE1 7075
ENSG00000117400 MPL 4352
ENSG00000117399 CDC20 991
ENSG00000066322 ELOVL1 64834
ENSG00000283836 MIR6734 102466723
ENSG00000159479 MED8 112950
ENSG00000198198 SZT2 23334
ENSG00000229372 SZT2-AS1 100873952
ENSG00000274975 MIR6735 102465440
ENSG00000178922 HYI 81888
ENSG00000142949 PTPRF 5792
ENSG00000066135 KDM4A 9682
ENSG00000126091 ST3GAL3 6487
ENSG00000229444  101929592
ENSG00000283477 MIR6079 102464830
ENSG00000117407 ARTN 9048
ENSG00000117408 IPO13 9670
